From	Entry	GeneID	Organism	Entry Name	Interacts with
ASB9	Q96DX5	140462;	Homo sapiens (Human)	ASB9_HUMAN	Q08043; Q8WXK3-2; P12277; P06732; P12532; P46108; G5E9A7; Q15369; Q9Y3B2; Q0VDC6; V9HWH2; Q9NWT6; P54652; Q8WXH2; O60333-2; P06239-3; P02545; O60260-5; Q96CP1; Q16637; Q13148; P54253; P46379-2; G5E9A7; O14645; P28799; O43464; Q9UMF0; Q8WXH2; O60333-2; O14901; P35240-4; Q9BVL2; D3DTS7; O60260-5; Q7Z699; Q13148; P54577
GRB10	Q13322	2887;	Homo sapiens (Human)	GRB10_HUMAN	P00533; P54762; P36888; P06213; P27986; Q9UKA8; Q13322-3; Q16613; Q86V38; P51451; P02489; O95363; P01100; P50440; P14136; Q13322-4; P62993; Q8WXH2; Q63ZY3; O00505; Q8TAP4-4; Q8NI38; Q13153; Q9NRD5; Q15047-2; P12931; Q8WW24; Q96N21; Q13470-2; P42681; P61981; Q96E35
EYA2	O00167	2139;	Homo sapiens (Human)	EYA2_HUMAN	Q15475; Q15475; Q7L5A3; O95817; Q8NEC5; Q07002; Q86UW9; Q9H596; Q9H0I2; O14964; Q8NA54; P56470; Q71SY5; Q9HBE1-4; P55771; Q13526; Q7Z3K3; P48378; Q15475; P09234; Q9NZD8; P51687; Q8WW24; Q96M29; Q92734; Q08117-2; Q9BUZ4; O75865-2; Q96PN8; A5D8V6
MTF1	Q14872	4520;	Homo sapiens (Human)	MTF1_HUMAN	Q9BXS5
TMED9	Q9BVK6	54732;	Homo sapiens (Human)	TMED9_HUMAN	O43315; O43736; Q96GM1; P17706-1; Q96IW7; Q9H2L4
MRPL36	Q9P0J6	64979;	Homo sapiens (Human)	RM36_HUMAN	Q9UHD4
LDHD	Q86WU2	197257;	Homo sapiens (Human)	LDHD_HUMAN	
ZNF420	Q8TAQ5	147923;	Homo sapiens (Human)	ZN420_HUMAN	Q9NX04; Q8N726; Q96LK0; Q9NQT4; P60409; P04637; P36508
HERC3	Q15034	8916;	Homo sapiens (Human)	HERC3_HUMAN	
LAMB4	A4D0S4	22798;	Homo sapiens (Human)	LAMB4_HUMAN	
ABCF1	Q8NE71	23;	Homo sapiens (Human)	ABCF1_HUMAN	
MSRB2	Q9Y3D2	22921;	Homo sapiens (Human)	MSRB2_HUMAN	Q92870-2; P02649; Q7Z3D6; P26378-2; P14136; P42858; Q8WXH2; Q92597; P19404; Q7Z412; D3DTS7; P37840; Q12933
GPI	P06744	2821;	Homo sapiens (Human)	G6PI_HUMAN	Q96BW9
MMAA	Q8IVH4	166785;	Homo sapiens (Human)	MMAA_HUMAN	Q8IVH4; P22033
OTUD5	Q96G74	55593;	Homo sapiens (Human)	OTUD5_HUMAN	
CFHR5	Q9BXR6	81494;	Homo sapiens (Human)	FHR5_HUMAN	Q3SXY8; Q03591; Q8N5K1; O43889-2; Q96BA8; O00559; Q9Y282; O15552; Q8TED1; Q9Y2U2-2; Q5SR56; Q96RD7; Q14973; Q05940; P02730; P27105; Q9NUH8; Q96Q45-2; O15393-2; P02741
TSC2	P49815	7249;	Homo sapiens (Human)	TSC2_HUMAN	Q9NRD5; P62136; O00141; Q96EB6; Q92574; P31946; P63104
TALDO1	P37837	6888;	Homo sapiens (Human)	TALDO_HUMAN	P42858; Q9NYB0
WWC2	Q6AWC2	80014;	Homo sapiens (Human)	WWC2_HUMAN	
REXO4	Q9GZR2	57109;	Homo sapiens (Human)	REXO4_HUMAN	P50570-2; O75031; P42858; P29474
ZNF573	Q86YE8	126231;	Homo sapiens (Human)	ZN573_HUMAN	
PLSCR4	Q9NRQ2	57088;	Homo sapiens (Human)	PLS4_HUMAN	Q6UY14-3; Q9Y6H3; P23141-3; Q9H5F2; Q16740; Q9UGL9; Q15038; Q96D03; A0A0C3SFZ9; P15976-2; Q9BSH5; P49639; Q5TA45; P16144-2; Q2WGJ6; Q5T749; Q9NSB4; Q9BYS1; P60410; Q8IUB9; Q3LI72; Q3LI70; Q3SYF9; Q3LI59; Q9BYR8; Q9BYR6; Q9BYR5; Q3LI64; Q3LI66; Q8IUC2; Q5T7P2; Q5T751; O14633; Q5TCM9; Q5JR59; Q8IV28; Q7Z3S9; Q8TDS5; Q92824-2; Q9BTL3; P10745; Q93062-3; P62979; Q16348; Q96M29; Q6N022; Q8IWZ5; Q15645; O14817; P62987; P0CG47; P0CG48; Q5VVQ6; P09022
CDC42EP1	Q00587	11135;	Homo sapiens (Human)	BORG5_HUMAN	P60953; Q9H4E7; Q9H4E5; Q9H6L4; P60953; P54646; P21673
TSPYL4	Q9UJ04	23270;	Homo sapiens (Human)	TSYL4_HUMAN	Q96JB5; Q86XR8-3; A6NEM1; P43358; Q8IYV1; Q8ND90; Q9UBB9; P07101-3; O00635; Q8N720; Q9UGI0
RAB40C	Q96S21	57799;	Homo sapiens (Human)	RB40C_HUMAN	
CASP9	P55211	842;	Homo sapiens (Human)	CASP9_HUMAN	O14727; Q13490; Q96CA5; Q6PIA0; P42574; P43146; Q13418; P98170; Q8XAL7; P55211-1
DPH1	Q9BZG8	1801;	Homo sapiens (Human)	DPH1_HUMAN	Q12800
CDC42EP2	O14613	10435;	Homo sapiens (Human)	BORG1_HUMAN	Q9UNA1; Q9UNA1-2; Q9NQ75-2; P60953; P10606; Q14511-2; Q9Y5B8; Q9NRD5
PTCD2	Q8WV60	79810;	Homo sapiens (Human)	PTCD2_HUMAN	O15344; Q9UJV3-2; Q13049; Q70CQ1-2
CCDC127	Q96BQ5	133957;	Homo sapiens (Human)	CC127_HUMAN	
SOX30	O94993	11063;	Homo sapiens (Human)	SOX30_HUMAN	O43865; Q8IYR0; Q14192; Q01543
PRKAR2B	P31323	5577;	Homo sapiens (Human)	KAP3_HUMAN	A0A0S2Z4Y8; A0A0S2Z551; Q86UN6; P24588; O43687-2; Q9BSF0; Q16610; P33176; A0A0S2Z5D3; P17612; Q16514
ERMP1	Q7Z2K6	79956;	Homo sapiens (Human)	ERMP1_HUMAN	P41181; Q13520; Q9UN42; Q9BXK5; J3KQ12; Q8TD46-4; O00501; O95471; O95484; Q9UHP7-3; Q96BA8; P60508; Q5JX71; Q8TBE3; P48165; O15529; Q9NZD1; Q9UM44; P31937; Q9Y5U9; P38484; Q9UGI6-2; P26715; Q6UWN5; Q95460-2; Q9BQ51; O00623; Q9UBD6; Q9UKG4; A1A5C7-2; Q8TBB6; Q9NPE6; Q8WWF3; Q96Q45-2; Q9NWC5; Q96HE8
ZNF560	Q96MR9	147741;	Homo sapiens (Human)	ZN560_HUMAN	
RGL1	Q9NZL6	23179;	Homo sapiens (Human)	RGL1_HUMAN	P01112; P10114
KLHL2	O95198	11275;	Homo sapiens (Human)	KLHL2_HUMAN	P50895; Q13895; Q9H1P6; Q86WV7; Q96MW1; Q16543; P49760; Q13618; Q9HCG8; Q14241; Q14145; Q53G59; O95198; Q9UH77; P55081; Q9ULW6; Q96HA8; Q6TGC4; Q4G0R1; Q9BUI4; O00560; Q96EY4; O14787; Q86XT4; O95881; Q5TZN3; Q7KZS0; Q8NC26
RSF1	Q96T23	51773;	Homo sapiens (Human)	RSF1_HUMAN	P09429; O60264
PXN	P49023	5829;	Homo sapiens (Human)	PAXI_HUMAN	P41240; P35222; Q13480; Q9Y2X7; Q14161; P13612; Q05397; Q06124; Q05209; Q99942; P06931; Q09463; Q62417-2; P51451; Q9C005; P25800; Q8TAP4-4; Q9GZM8; Q9NVD7-1; Q8IVE3-3; Q494U1-3; Q8N8B7-2; Q9P202; P07947
SAPCD2	Q86UD0	89958;	Homo sapiens (Human)	SAPC2_HUMAN	P18848; Q13515; Q9NX04; A8MQ03; Q9UPT5-1; O75496; Q96D09; P12035; Q8IUG1; Q99750; Q15311; Q8N6Y0; P18206-2
BLK	P51451	640;	Homo sapiens (Human)	BLK_HUMAN	P10275; Q8NDB2; Q13490; P46109; O43281; O43281-2; P00533; Q96Q35-2; P51114-2; P51116; Q13480; Q13322-4; O75031; P08238; Q9UKT9; Q96N16; P10721; Q9UJV3-2; Q9NRD5; P27986-2; Q92569; P49023-2; O14796; Q13239-3; O14543; Q9BWW4; Q9UGK3; P40763; O95551; P08670; A0A0C4DGF1; B2RXF5; Q96BR9; Q6NX45
SPP1	P10451	6696;	Homo sapiens (Human)	OSTP_HUMAN	P46379-2; Q8IXL6; O43681; P50222; P62166; O43765; Q96EQ0; Q8IXL6
GORAB	Q5T7V8	92344;	Homo sapiens (Human)	GORAB_HUMAN	O95870; P05090; Q07817; Q92843; Q12982; P60033; P23141-3; Q8N6F1-2; Q9NWW5; Q96FZ5; Q6PI25; Q07325; P50402; Q96F15; P11215; Q9UBY5; Q7Z4F1; Q00987; P11836; Q8IXM6; P09466; Q8IY26; Q59EV6; P43378; O75396; Q9Y6D0; O75971-2; Q86Y82; Q9UNK0; P17152; A0PK00; Q5BJH2-2; Q9P0S9; Q14656; Q96HH6; Q8NBD8; Q9H2L4; Q8N2M4; Q9Y228; Q86UF1; Q5BVD1; Q15836; O95183; Q9BQB6; Q8N0U8; Q14508; O95159
OSBPL3	Q9H4L5	26031;	Homo sapiens (Human)	OSBL3_HUMAN	Q08AH1; Q13895; Q3B820; Q9H0R8; P60520; Q8TBB1; Q96EZ8; O00444; Q99633; O43395; Q86X27; P62913-2; Q8TDR2; Q96C24; Q15560; Q8N8B7-2; Q9Y228; P19544-6; Q05516; Q96MX3; Q6ZNH5; Q5T619; Q9Y2P0; Q9Q2G4
ZNF329	Q86UD4	79673;	Homo sapiens (Human)	ZN329_HUMAN	Q9BWT7; Q8NHQ1; Q96Q77; P50402; O15287; A6NEM1; Q9H079; Q6A162; P60370; P60409; P50222; Q5JR59; Q5JR59-3; Q96CV9; Q9NRD5; P31321; Q13470-2; O94972; Q8WV44; Q9H2G4; P13994; Q96BR9; Q8N5A5-2; Q9NSD4
CCM2L	Q9NUG4	140706;	Homo sapiens (Human)	CCM2L_HUMAN	Q13554-3; Q9BYU1; P20618; Q9NZ43
ANGPTL3	Q9Y5C1	27329;	Homo sapiens (Human)	ANGL3_HUMAN	
CDKL5	O76039	6792;	Homo sapiens (Human)	CDKL5_HUMAN	Q08379; P40692
MROH2B	Q7Z745	133558;	Homo sapiens (Human)	MRO2B_HUMAN	
MFN1	Q8IWA4	55669;	Homo sapiens (Human)	MFN1_HUMAN	Q7Z434; Q8IWA4; O95140
RAF1	P04049	5894;	Homo sapiens (Human)	RAF1_HUMAN	P05067; O95816; P15056; Q14790; P49368; P30304; Q16543; P31327; P01112; P07900; P08238; P11021; P01116; P01116-2; Q8IVT5; Q02750; P36507; Q15773; Q12968; P01111; O43482; Q13177; Q6TCH7; P30086; Q96S96; Q13526; P14618; P67775; Q13362; P04049; P62834; P06400; P53805-2; P31947; Q13188; Q9UNE7; Q3ZCQ8; P31946; P62258; P61981; Q04917; P27348; P63104; P32883; P28301; Q9ESN9-2; P03495; O39474; P01120
SSR3	Q9UNL2	6747;	Homo sapiens (Human)	SSRG_HUMAN	Q9UI14
LYSMD2	Q8IV50	256586;	Homo sapiens (Human)	LYSM2_HUMAN	Q96LK0; Q13115; Q8WX39
ZBTB10	Q96DT7	65986;	Homo sapiens (Human)	ZBT10_HUMAN	Q9Y4Z0; Q70IA8; Q9UBU8; Q15014; Q8TAU3; O00311; Q96LK0; O43602-2; P26196; Q08426; Q9BYC5; A0A024R8L2; Q96A72; Q8N7B6-2; O43189; Q96IZ5; O76064; A0A024R8A9; Q68CQ4; Q8TAU3
SPRYD4	Q8WW59	283377;	Homo sapiens (Human)	SPRY4_HUMAN	O75964; P24534
PHYHIP	Q92561	9796;	Homo sapiens (Human)	PHYIP_HUMAN	
FCER1G	P30273	2207;	Homo sapiens (Human)	FCERG_HUMAN	Q08708; P12314; P43405
TMEM138	Q9NPI0	51524;	Homo sapiens (Human)	TM138_HUMAN	
ETV1	P50549	2115;	Homo sapiens (Human)	ETV1_HUMAN	Q8NHY2; Q16236; P78527; Q8NHY2-1
MDFI	Q99750	4188;	Homo sapiens (Human)	MDFI_HUMAN	Q16613; A0A0S2Z645; Q8NFV4-4; P82987; P18825; Q6ZN18-2; P21549; Q02040-3; P29972; P55064; A7KAX9; Q03989; Q9H6L4; Q7L5A3; P30049; Q5T686; A0A0S2Z4M1; O15169; O95817; Q8TBE0; A0A0S2Z5G4; B4DE54; Q8N9N5-2; Q8N9N5-7; Q9BXC9; P50895; A8KA13; Q9HBH7; Q9BXY8; Q00994; Q5T681; Q8TAB5; Q6P5X5; Q96LM5; Q9H7E9; Q96LL4; Q8NEC5; O43439; Q8N7E2; Q14781; Q14781-2; Q9HC52; Q5T0F9; Q5T0F9-3; Q8IYX3; Q8N715; Q9NVL8; Q96S94-5; Q86Y33-5; Q16543; Q96GN5; Q8IVW4; Q8IYX8; O43745; P07510-2; Q8NE01; Q9BSW2; Q02930-3; P06850; Q9Y6M4-3; Q99895; Q6DCB0; Q8NFT6-2; Q58WW2; Q5TAQ9; Q8TF63; Q96LJ7; O94907; Q9NQL9; P59910; Q9Y6K1; Q92608; Q7L591-3; Q5JR98; O95967; Q14240-2; Q14241; Q9H0I2; Q92731-3; Q0VG06-3; Q8N9I5; Q5T036; Q9H5Z6; Q3B820; Q96MY7; Q08E93; Q86YD7; O95363; Q96D16; Q9NWN3; A0PJY2; Q9BVV2; Q12950; Q9NU39; Q6VB84; Q3SYB3; O14764; P15976-2; P23769; Q99988; P04899; Q9Y223-2; P63218; O95872; Q9NWQ4; Q9NWQ4-1; O60565; Q9Y5Q8; Q9GZV7; Q8TF76; A0A024R5S0; B4DNA4; Q9NQ87; Q03014; Q9XRX5-2; Q8WVV9; P49639; P17482; P37235; P28222; Q8NA54; P16144-2; Q15040; Q92993; Q96MP8-2; A0A384DVV8; Q2WGJ6; P52292; Q7Z794; A0A0S2Z3Z3; Q14847; Q14847-2; Q5T7P2; Q5T7P3; Q5T752; Q5T754; O14633; Q5TA76; Q5T5A8; Q9BYE3; Q5T5B0; Q5TA78; Q7Z4I7-5; O14910; O75427; Q8TD91-2; Q9Y5V3; Q9HAY2; P28482; O60336; Q8NHZ7; Q99750; Q9H7H0; Q9H7H0-2; Q8IVT4; P50539-3; Q86VE0; Q92692; Q92692-2; Q8WWR8; Q86XR2; Q969G9; Q9NQX5; Q8NDH3-5; F1D8P7; P55055; Q13133; Q13133-2; Q13133-3; Q96L73-2; Q9Y5Y2; Q7Z417; Q17RF5; Q14990; A8MYP8; Q7RTU3; P32242; Q9HBE1-4; Q96AQ6; Q92824-2; P04085-2; Q14554; Q29RF7-3; Q9HAT8; O43189; A2BDE7; Q8WV24; Q4G0R1; Q7Z2X4; Q9HB75; Q8WWB5; Q13526; P78337; Q13563; Q58EX7; Q9UGP5-2; O43741; Q99633; Q8WWY3; Q9NV39; Q13308; Q8WUK0; Q3YEC7; P63000; Q9Y272; Q06141; Q96EN9; Q9BQY4; Q13671; Q0D2K3; A0A0S2Z4G9; Q14D33; Q86UD0; Q969E2; Q9BWG6; Q8WWX9; Q13214-2; Q9NUL5; Q9NUL5-4; P34896; Q15475; Q86YT5; Q8IY34; Q9UBX3; Q9UBX3-2; Q8NB12; Q96RF0; O14512; Q86W54-2; Q6RVD6; Q9UQ90; Q9HCB6; Q7Z698; O43609; O43597; P51687; Q9BSH4; Q5VWN6; Q6DHY5; Q8N8B7-2; A0A0S2Z4E5; A0A0S2Z4F2; Q7L2K0; Q15583; P07101-3; Q9P2T0; Q08117-2; P19237; Q05952; Q4VB56; O14656; Q96RU7; P43897; Q3SY00; O14817; Q6FI91; Q8N831; Q5W5X9; Q5W5X9-3; Q6ZVT0; Q6ZVT0-3; O75896; Q99757; Q8TAI1; Q06418; A0A024R8A9; Q9Y2K6; Q6EMK4; A8MV65-2; P40337; P40337-2; Q15906; Q8IW00; O96014; P25490; O43167; P24278; B2RXF5; Q96C00; Q7Z2W4; Q8WTX9; Q9Y260; Q68DK2-5; Q9NZV7; Q8IZC7; P17014; Q15973; P52737; P52744; P52744-2; Q12901; Q12901-2; Q9UK13; Q9UK11; P17027; Q9UIE0; O43296; Q14C61; Q14584; Q9Y3S2; Q9H9D4; Q96IQ9; Q8TAU3; Q8N7K0; Q7Z4V0; Q8NDP4; Q8IYI8; Q8N8Z8; Q9NWS9-2; Q8TAF7; Q96JC4; Q9ULM2; Q8N8L2; Q6ZNH5; Q96KM6; Q96C55; Q9BR84; Q8TBZ8; Q7Z3I7; Q86XF7; Q3MI94; Q96N58; Q9UK33; Q9P0T4; Q96SQ5; Q96SK3; Q6PF04; O15015; Q5T619; Q6ZS27-3; Q96BR6; Q9BS34; Q8IYX0; A0A0S2Z5X4; Q9H7X3; Q96C28; Q96H86; Q8NCA9; A8K8V0; Q8N393; Q15937; Q96EG3; Q08AG5; O43257; Q5BKY6; Q5W150; Q5XG85; P09022
C6orf141	Q5SZD1	135398;	Homo sapiens (Human)	CF141_HUMAN	P54253; P14136; Q8WXH2; P29474; O60437; P37840; P00441; Q13148
HELQ	Q8TDG4	113510;	Homo sapiens (Human)	HELQ_HUMAN	O43502
NGLY1	Q96IV0	55768;	Homo sapiens (Human)	NGLY1_HUMAN	Q6AI39; Q96NT3; Q96NT3-2; Q99743; Q02548; P26367; P54725; P54727; Q99081-3; O14545; Q9BYV2; Q9UMX0; Q9UMX0-2; Q14CS0; Q2NL98
TSC1	Q92574	7248;	Homo sapiens (Human)	TSC1_HUMAN	Q00994; P02794; O14920; Q674X7; Q16539; Q9NRD5; Q92844; Q9P0N9; P49815
COMMD10	Q9Y6G5	51397;	Homo sapiens (Human)	COMDA_HUMAN	O60826; Q567U6; Q8N668; Q9GZQ3; Q0VDC6; P01100; P50440; P31930
IGHV1OR15-1	A0A075B7D0		Homo sapiens (Human)	A0A075B7D0_HUMAN	
OXSM	Q9NWU1	54995;	Homo sapiens (Human)	OXSM_HUMAN	
YIPF2	Q9BWQ6	78992;	Homo sapiens (Human)	YIPF2_HUMAN	Q13520; Q9Y282; O15552; O15529; Q7Z5P4; O95214; Q5SR56; O15173; Q96GF1; Q99942; Q6UWV7; Q3KNW5; Q9BRI3; Q9BRY0-2; Q86WV6; Q5VXT5-2; Q96AN5; Q9NUH8; Q9Y320; Q9NYZ1; Q96EC8
NUP54	Q7Z3B4	53371;	Homo sapiens (Human)	NUP54_HUMAN	O95994; Q10567-3; P63010-2; Q9NP55; Q9NWQ9; Q9NX04; P55212; Q8TD31-3; P06307; Q9UJX2; Q9H3R5; O75935-2; Q5JVL4; O00303; Q9NYK6-3; Q9NV70; Q8IYI6; Q96CS2; Q9BT25; O14964; P30519; Q86YM7; Q8IY31; Q8IY31-3; O14901; P19012; Q7Z3Y8; Q14525; P13473-2; Q8NI38; Q9BVL2; P37198; P61970; O43482; Q96KN3; P62826; Q9UJW9; Q9H7B4; Q5JUK2; Q9NZD8; Q9Y6A5; Q9BT92; Q969V4; Q9BXU0; P06753; A5D8V6; O95229; Q67020; PRO_0000449627 [P0DTD1]
RFC1	P35251	5981;	Homo sapiens (Human)	RFC1_HUMAN	P35250
SLC25A43	Q8WUT9	203427;	Homo sapiens (Human)	S2543_HUMAN	
KSR1	Q8IVT5	8844;	Homo sapiens (Human)	KSR1_HUMAN	P36507; P04049; Q86Y07
LMAN2L	Q9H0V9	81562;	Homo sapiens (Human)	LMA2L_HUMAN	P42858; P21145
PNPLA4	P41247	8228;	Homo sapiens (Human)	PLPL4_HUMAN	
TMEM165	Q9HC07	55858;	Homo sapiens (Human)	TM165_HUMAN	
EFNB1	P98172	1947;	Homo sapiens (Human)	EFNB1_HUMAN	Q86W74-2; P04626
FBXW8	Q8N3Y1	26259;	Homo sapiens (Human)	FBXW8_HUMAN	P01106; P63208; B1WBR1
ZCCHC14	Q8WYQ9	23174;	Homo sapiens (Human)	ZCH14_HUMAN	A8MQ03; Q13643; A0A024R8L2; P15173; Q58EX7; P86480; Q63HR2; Q70EL1-9
CES2	O00748	8824;	Homo sapiens (Human)	EST2_HUMAN	
MPHOSPH9	Q99550	10198;	Homo sapiens (Human)	MPP9_HUMAN	
AKT1	P31749	207;	Homo sapiens (Human)	AKT1_HUMAN	Q6UY14-3; P31749; Q86V81; Q8IXJ9; P54253; O95999; Q9H0C5; Q9UQM7; P20248; Q16543; Q8TAP6; Q92793; Q15438; Q96D03; P26358; Q1W6H9; Q12778; O43524; P06241; P22466; P49841; Q96LI6-3; P08238; P42858; Q5S007; Q99683; P10636; Q00987; Q14696; P42345; Q9BZQ8; P04150; O15530; Q96S96; P19174; O60437; P62136; P67775; P30153; P17612; Q05513; Q8WUY3; Q15047; Q96EB6; Q13043; Q9UNE7-1; P56279; Q9NYB0; Q5T1C6; Q92547; P53804; P10599; P08670; Q6GPH4; A0A024RC47; P29067; Q83730; P03165; Q15118-1
MIA3	Q5JRA6	375056;	Homo sapiens (Human)	TGO1_HUMAN	O95833; Q02388; Q9NSC5; Q96PV6; O43639; Q15436; Q53EZ4; P51116; Q9GZV8; P14373
PHYKPL	Q8IUZ5	85007;	Homo sapiens (Human)	AT2L2_HUMAN	Q8N448; Q8IUZ5; Q9NUX5; O60763; Q08AM6
POLR2G	P62487	5436;	Homo sapiens (Human)	RPB7_HUMAN	Q5TBC7; Q8WYQ4-2; Q96Q77; Q9UHC6; P17661; Q68J44; O15371; P38919; P15408; Q92917; Q00444; P33176; P25791-3; P28482; Q9UJX0; Q9HBI0; O15160; P28062-2; Q9UL33-2; Q6AZZ1; Q8WW01; Q96BW1; Q86VK4-3
LIMCH1	Q9UPQ0	22998;	Homo sapiens (Human)	LIMC1_HUMAN	Q6UXM1-1
WASF2	Q9Y6W5	10163;	Homo sapiens (Human)	WASF2_HUMAN	Q9UQB8-4; O60504-2; Q7Z699; Q8IUH5
SNX7	Q9UNH6	51375;	Homo sapiens (Human)	SNX7_HUMAN	O14964; O95219; Q8IYF3; Q9NYB9-2; O95219; Q8IYX1
TYSND1	Q2T9J0	219743;	Homo sapiens (Human)	TYSD1_HUMAN	Q2T9J0-1
PCDHB10	Q9UN67	56126;	Homo sapiens (Human)	PCDBA_HUMAN	
VAPB	O95292	9217;	Homo sapiens (Human)	VAPB_HUMAN	Q9NVV5-2; P63010-2; Q13520; Q0P5N6; P11912; P13569; P49447; Q53TN4; O00559; Q15125; Q9GZR5; P50402; Q8TBP5; O00155; Q7Z5P4; Q8N5M9; Q9BYQ4; Q9BXW6; O14684; Q9H6H4; Q86VR2; Q96LZ7; Q6P5S7; Q9NY72; O00560; Q9GZS3; Q9NQQ7-3; Q96IK0; Q8N6L7; Q9Y320; Q5VTQ0; A0A024R8A9; Q9Y2K6; Q9P0L0; O95070; O15209; Q96MV8; Q5T4F4; Q03137; PRO_0000278740 [Q03463]; PRO_0000045600 [Q99IB8]; Q9P0L0; PRO_0000278741 [Q03463]; PRO_0000278741 [Q03463]
MFSD5	Q6N075	84975;	Homo sapiens (Human)	MFSD5_HUMAN	Q9UHX3; Q13520; Q15041; Q8NFU1; P62952; Q6UXG8-3; O14523; Q8N350-4; Q8NHW4; P25942; P11912; O95471; P58418; Q96BA8; O43169; O15552; Q14802-3; P36382; O14653; Q96P66; Q8TDT2; O00155; O15529; Q8TED1; Q7Z5P4; P24593; Q6UWB1; Q8N6L0; O43561-2; Q8TAF8; Q8N4V1; P15941-11; O15173; Q99640-2; P26678; P50876; Q6ZMZ0; Q5QGT7; Q9NY72; O75396; Q3SXP7; Q3KNW5; Q05940; Q9NUM3; Q8WWF3; P02808; Q0VAB0; Q9NPL8; Q5BJH2-2; Q8N3G9; Q9NUH8; Q7Z7N9; Q969S6; Q96Q45-2; Q96EC8
ILKAP	Q9H0C8	80895;	Homo sapiens (Human)	ILKAP_HUMAN	Q13418; Q7Z699
KIF26A	Q9ULI4	26153;	Homo sapiens (Human)	KI26A_HUMAN	P78358; Q8IYX1
TTC39A	Q5SRH9	22996;	Homo sapiens (Human)	TT39A_HUMAN	Q15025
CLCN2	P51788	1181;	Homo sapiens (Human)	CLCN2_HUMAN	Q9UMX0-2
HS6ST2	Q96MM7	90161;	Homo sapiens (Human)	H6ST2_HUMAN	
PDLIM4	P50479	8572;	Homo sapiens (Human)	PDLI4_HUMAN	P12814; P48728-4; Q8WU58; O00560
SPCS1	Q9Y6A9	28972;	Homo sapiens (Human)	SPCS1_HUMAN	PRO_0000045596 [Q99IB8]; PRO_0000045598 [Q99IB8]
PGK2	P07205	5232;	Homo sapiens (Human)	PGK2_HUMAN	
COL3A1	P02461	1281;	Homo sapiens (Human)	CO3A1_HUMAN	O01949; P09486; P63010-2; Q53G59
BSPRY	Q5W0U4	54836;	Homo sapiens (Human)	BSPRY_HUMAN	
FAT2	Q9NYQ8	2196;	Homo sapiens (Human)	FAT2_HUMAN	
NEURL4	Q96JN8	84461;	Homo sapiens (Human)	NEUL4_HUMAN	O43303
PINK1	Q9BXM7	65018;	Homo sapiens (Human)	PINK1_HUMAN	P63010-2; P05067; O15392; Q9Y3I1; Q9Y3I1-1; Q9UHY8; P42858; Q6DN90-2; Q9BYZ2; Q9GZQ8; Q13113; P00491; O60260; Q8IXI2; Q8WXH5; Q99932-2; P28347-2; Q9UBQ0-2; Q8N895; O60260; Q12931
IGHV5-51	A0A0C4DH38		Homo sapiens (Human)	HV551_HUMAN	
THSD7A	Q9UPZ6	221981;	Homo sapiens (Human)	THS7A_HUMAN	Q13520; Q3SXY8; P20138; P21964; Q9NYP7; Q8NBJ4; Q7Z5P4; Q86WI0; Q9Y5Y7; Q9NY72; Q71RG4; Q3ZAQ7
TPM1	P09493	7168;	Homo sapiens (Human)	TPM1_HUMAN	Q8TAB5; Q8TC20; Q08379; Q9BQD3; Q9Y6D9; Q8N0S2; P13805; Q08379; V9HW56; Q9BQD3; Q8N0S2; P0C1Z6-2; Q9UL45; Q8TC20-4; Q2M329; Q8TD31-3; Q8IZT9; P02671-2; Q08379; O14879; Q9BQD3; Q9Y6D9; P62195; Q8N0S2; P0C1Z6; P13805-3; O95619
ADM	P35318	133;	Homo sapiens (Human)	ADML_HUMAN	
TP53I11	O14683	9537;	Homo sapiens (Human)	P5I11_HUMAN	
ALDH9A1	P49189	223;	Homo sapiens (Human)	AL9A1_HUMAN	
ALS2	Q96Q42	57679;	Homo sapiens (Human)	ALS2_HUMAN	P20339
NRF1	Q16656	4899;	Homo sapiens (Human)	NRF1_HUMAN	P24385; Q14192; Q7Z3K3; Q9NRC8; Q02446; Q12933; O95994; Q92870-2; Q9BXC9; Q6AI39; Q9NSI6-4; Q5SWW7; Q3SXR2; P17540; Q03692; P67870; Q9NQ30; Q14192; Q96JK4-2; Q7Z7F0-4; Q9UIH9; O15131; P78385; Q969R5; Q96JM7-2; Q9UBR4-2; A0A0S2Z5S9; Q9UPM6; P61968; Q14764; O14561; Q495U3; Q7Z3K3; Q8N1D0-2; Q02086-2; Q02446; Q99619; Q8NEQ6; Q9Y4I5-2; Q6ZNM6; Q9H0E2; Q12933; Q9UPQ4-2; Q14119; O95789-4
RPL35A	P18077	6165;	Homo sapiens (Human)	RL35A_HUMAN	Q92993; Q8TAP4-4; P17252; Q15047-2; P61981
