From	Entry	GeneID	Organism	Entry Name	Interacts with
CHGB	P05060	1114;	Homo sapiens (Human)	SCG1_HUMAN	Q8IXL6; Q5S007; Q15796
DRAP1	Q14919	10589;	Homo sapiens (Human)	NC2A_HUMAN	Q01658; Q14919; Q00403; P25791; P25791-3; Q8TBB1; Q96EZ8; Q9UBU8-2; O43639; P25208; Q9NRD5; Q92569; Q9NRF9; P32969; O00560; Q16594; Q9HBM6
FAM151B	Q6UXP7	167555;	Homo sapiens (Human)	F151B_HUMAN	Q9C019
ICAM1	P05362	3383;	Homo sapiens (Human)	ICAM1_HUMAN	Q99828; A8MQ03; P20701; Q14145; P60410; Q9BRX2; Q9UHD9
BET1L	Q9NYM9	51272;	Homo sapiens (Human)	BET1L_HUMAN	
LAMC2	Q13753	3918;	Homo sapiens (Human)	LAMC2_HUMAN	
APPL1	Q9UKG1	26060;	Homo sapiens (Human)	DP13A_HUMAN	Q9BV57; Q96A54; Q9UKG1; Q8NEU8; Q03001; P00533; O95363; O15379; P43362; P50221; Q96PV4; Q9UL25; P20339; Q8TAI7; Q9Y3I0; Q8WXH0; Q05BL1; Q12933; Q9C0C9; Q91VH1
HCFC1	P51610	3054;	Homo sapiens (Human)	HCFC1_HUMAN	Q9UBL3; Q92560; O43889; O43889-2; Q9NS37; O43524; Q06546; Q06547; Q06547-2; P51610; Q13547; Q92769; O15294; O15047; Q96ST3; Q96EB6; P08047; Q9H7L9; Q9NVV9; Q96EK4; P61964; Q13105; Q14192; Q9UPP1-2; Q9NS37
HDDC3	Q8N4P3	374659;	Homo sapiens (Human)	MESH1_HUMAN	P0C7W6; Q8IYX8-2; O00471; Q5VSY0; Q0D2H9; Q08AF8; Q13287; Q15025; Q5VU62; Q6PJH3; Q8TD31-3; P43358; Q9BUK6; Q13287
RPS19BP1	Q86WX3	91582;	Homo sapiens (Human)	AROS_HUMAN	Q6UY14-3; A8MQ03; Q15323; Q07627; Q8IUG1; P60410; Q5JR59-3; P0DPK4; Q8IUQ4; Q96EB6
